# SB.API_SB - Archivo semilla del mantenimiento de Entidades Gubernamentales
# Fuente: ListaEntidadesGubernamentales.xlsx (listado oficial entregado con la prueba tecnica)
# Campos: Nombre|Categoria|PoderDelEstado|Sector
# Este archivo es la fuente de verdad legible. Al iniciar la API por primera vez se
# genera GovernmentEntities.txt con identificadores, estado y datos de auditoria.
Instituto Dominicano para la Calidad|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Industria, Comercio y MIPYMES
Instituto Duartiano|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Cultura
Instituto Geográfico Nacional José Joaquín Hungría Morell|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Economía, Planificación y Desarrollo
Instituto Nacional de Administración Pública|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Administración Pública
Instituto Nacional de Aguas Potables y Alcantarillados|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Salud
Instituto Nacional de Atención Integral a la Primera Infancia|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Educación
Instituto Nacional de Bienestar Estudiantil|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Educación
Instituto Nacional de Bienestar Magisterial|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Educación
Instituto Nacional de Ciencias Forenses|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Justicia
Instituto Nacional de Coordinación de Trasplante|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Salud
Instituto Nacional de Custodia y Administración de Bienes Incautados, Decomisados y en Extinción de Dominio|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Hacienda
Instituto Nacional de Educación Física|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Educación
Instituto Nacional de Formación Técnico Profesional|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Trabajo
Instituto Nacional de Formación y Capacitación del Magisterio|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Educación
Instituto Nacional de la Uva|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Agricultura
Instituto Nacional de Migración|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Interior y Policía
Instituto Nacional de Protección de los Derechos del Consumidor|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Industria, Comercio y MIPYMES
Instituto Nacional de Recursos Hidráulicos|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Medio Ambiente y Recursos Naturales
Instituto Nacional de Tránsito y Transporte Terrestre|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Obras Públicas y Comunicaciones
Instituto para el Desarrollo del Suroeste|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Economía, Planificación y Desarrollo
Instituto Postal Dominicano|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Obras Públicas y Comunicaciones
Instituto Superior de Formación Docente Salomé Ureña|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Educación Superior, Ciencia y Tecnología
Instituto Superior Especializado de Estudios Penitenciario y Correccionales|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Justicia
Instituto Técnico Superior Comunitario|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Educación Superior, Ciencia y Tecnología
Instituto Tecnológico de las Américas|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Educación Superior, Ciencia y Tecnología
Jardín Botánico Nacional "Dr. Rafael M. Moscoso"|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Medio Ambiente y Recursos Naturales
Junta de Aviación Civil|Órgano Colegiado con Estructura Operativa|Poder Ejecutivo|Presidencia
Liga Municipal Dominicana|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Interior y Policía
Lotería Nacional|Organismo Desconcentrado Funcionalmente|Poder Ejecutivo|Hacienda
Mercados Dominicanos de Abasto Agropecuario|Organismo Descentralizado Funcionalmente|Poder Ejecutivo|Agricultura
Ministerio Administrativo de la Presidencia|Ministerio|Poder Ejecutivo|Presidencia
Ministerio de Administración Pública|Ministerio|Poder Ejecutivo|Administración Pública
Ministerio de Agricultura|Ministerio|Poder Ejecutivo|Agricultura
Ministerio de Cultura|Ministerio|Poder Ejecutivo|Cultura
Ministerio de Defensa|Ministerio|Poder Ejecutivo|Defensa
Ministerio de Deportes y Recreación|Ministerio|Poder Ejecutivo|Deportes y Recreación
